# blastp
# Iteration: 0
# Query: VirC1-like (Hneap_1669)
# RID: 6W85XT7E013
# Database: refseq_select_prot
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score, % positives
# 33 hits found
VirC1-like	WP_027673494.1	28.750	240	155	7	3	233	8	240	1.35e-15	74.3	47.08
VirC1-like	WP_045231033.1	28.926	242	152	8	3	233	7	239	1.74e-15	74.3	47.52
VirC1-like	WP_181013825.1	28.216	241	155	6	3	233	7	239	1.87e-14	71.2	46.89
VirC1-like	WP_006724221.1	33.333	171	99	6	3	165	8	171	2.28e-14	71.2	52.63
VirC1-like	WP_173645925.1	31.176	170	104	3	3	165	7	170	3.08e-14	70.9	50.00
VirC1-like	WP_125146788.1	31.214	173	100	4	3	165	8	171	4.40e-14	70.1	49.71
VirC1-like	WP_006311061.1	28.455	246	148	7	3	233	8	240	7.26e-14	69.7	46.75
VirC1-like	WP_015917598.1	32.000	175	94	6	3	164	8	170	8.74e-14	69.3	49.71
VirC1-like	WP_060716600.1	27.799	259	161	8	1	237	121	375	7.37e-13	67.8	44.79
VirC1-like	WP_007698702.1	27.711	249	146	8	3	233	8	240	8.75e-13	66.6	43.78
VirC1-like	WP_010891622.1	27.413	259	162	8	1	237	121	375	1.89e-12	66.6	44.79
VirC1-like	WP_060716291.1	30.769	182	104	5	1	163	133	311	3.42e-12	65.9	47.25
VirC1-like	WP_137395803.1	26.364	220	143	5	1	201	122	341	1.41e-11	63.9	44.09
VirC1-like	WP_081880162.1	30.233	172	90	6	1	150	119	282	7.72e-11	61.6	44.77
VirC1-like	WP_092732220.1	30.814	172	89	6	1	150	119	282	9.04e-11	61.6	44.19
VirC1-like	WP_125146753.1	30.814	172	89	6	1	150	119	282	9.47e-11	61.6	44.19
VirC1-like	WP_162180348.1	26.364	220	143	5	1	201	122	341	9.70e-11	61.6	43.64
VirC1-like	WP_137393889.1	24.671	304	177	10	1	263	1	293	1.35e-10	60.5	42.11
VirC1-like	WP_077102473.1	30.233	172	90	6	1	150	119	282	2.24e-10	60.5	44.19
VirC1-like	WP_082760385.1	30.233	172	90	6	1	150	119	282	2.50e-10	60.1	44.19
VirC1-like	WP_084631550.1	32.941	170	88	8	1	150	119	282	3.46e-10	59.7	47.06
VirC1-like	WP_060720102.1	31.138	167	95	7	1	150	119	282	4.27e-10	59.7	47.90
VirC1-like	WP_080803875.1	32.121	165	96	6	1	150	118	281	4.98e-10	59.3	47.88
VirC1-like	WP_006724029.1	27.149	221	140	5	1	202	110	328	6.25e-10	58.9	43.89
VirC1-like	WP_080868329.1	29.586	169	94	5	1	150	115	277	1.08e-09	58.2	43.79
VirC1-like	WP_067650583.1	27.439	164	104	4	1	150	113	275	5.45e-09	56.2	46.95
VirC1-like	WP_052199117.1	24.380	242	160	6	1	224	124	360	1.83e-08	54.7	43.39
VirC1-like	WP_060717693.1	24.723	271	179	10	3	254	4	268	4.68e-08	52.8	42.80
VirC1-like	WP_060718145.1	27.586	203	129	6	2	198	3	193	2.32e-07	50.8	45.81
VirC1-like	WP_067644249.1	22.872	188	113	4	1	156	1	188	5.76e-07	49.7	41.49
VirC1-like	WP_045232081.1	53.333	45	21	0	1	45	115	159	1.07e-06	49.3	64.44
VirC1-like	WP_007688717.1	46.667	45	24	0	2	46	110	154	7.44e-06	46.6	64.44
VirC1-like	WP_060718910.1	26.596	188	98	5	1	188	1	148	5.99e-05	43.5	41.49


