# tblastn
# Iteration: 0
# Query: ParA
# RID: 6YA7P0S3016
# Database: ref_prok_rep_genomes
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score, % positives, query/sbjct frames
# 3969 hits found
ParA	NZ_PIPQ01000001.1	71.815	259	64	2	4	262	118136	118885	1.20e-112	364	84.17	0/2
ParA	NZ_CP037951.1	72.973	259	61	2	4	262	4212031	4211282	9.43e-112	361	82.63	0/-3
ParA	NZ_CP037951.1	30.709	254	167	4	4	255	3045541	3044801	5.45e-24	108	51.57	0/-3
ParA	NZ_NIJM01000062.1	72.973	259	61	2	4	262	4818	5567	1.08e-111	361	83.40	0/3
ParA	NZ_NGVS01000022.1	72.973	259	61	2	4	262	19042	18293	1.10e-111	361	83.40	0/-1
ParA	NZ_NIJK01000053.1	72.973	259	61	2	4	262	18950	18201	1.10e-111	361	83.40	0/-3
ParA	NZ_JADX01000023.1	73.359	259	60	2	4	262	26849	26100	1.50e-111	360	83.40	0/-3
ParA	NZ_FNEM01000022.1	73.359	259	60	2	4	262	16461	15712	1.62e-111	360	83.40	0/-2
ParA	NZ_CP046378.1	72.587	259	62	2	4	262	4978502	4977753	1.73e-111	360	83.40	0/-1
ParA	NZ_CP046378.1	35.361	263	156	5	4	259	3337017	3336250	2.21e-29	124	50.95	0/-3
ParA	NZ_AUDJ01000033.1	73.359	259	60	2	4	262	47182	47931	1.89e-111	360	83.40	0/1
ParA	NZ_RXNU01000017.1	72.973	259	61	2	4	262	29642	28893	2.03e-111	360	83.01	0/-3
ParA	NC_011566.1	72.973	259	61	2	4	262	5393490	5392741	4.38e-111	359	83.40	0/-2
ParA	NC_011566.1	32.331	266	161	4	4	262	1589563	1590324	4.27e-28	120	50.38	0/1
ParA	NZ_JAEH01000024.1	72.973	259	61	2	4	262	66968	67717	4.61e-111	359	83.01	0/2
ParA	NZ_CP014782.1	72.973	259	61	2	4	262	6350550	6349801	5.07e-111	359	83.01	0/-1
ParA	NZ_CP014782.1	33.466	251	158	4	4	252	4300996	4300265	1.06e-28	122	52.99	0/-3
ParA	NZ_CP014782.1	30.909	165	103	4	19	179	5274898	5275371	5.11e-05	52.4	48.48	0/1
ParA	NC_014012.1	72.587	259	62	2	4	262	4959259	4958510	8.29e-111	358	83.01	0/-1
ParA	NC_014012.1	33.068	251	159	4	4	252	1665002	1665733	1.50e-28	122	52.59	0/2
ParA	NZ_MCBT01000030.1	72.201	259	63	2	4	262	23942	23193	8.74e-111	358	83.01	0/-1
ParA	NZ_ML014760.1	73.359	259	59	3	4	262	73856	74602	1.06e-110	358	83.78	0/2
ParA	NC_010506.1	72.587	259	62	2	4	262	5901163	5900414	1.75e-110	358	82.63	0/-2
ParA	NC_010506.1	33.465	254	160	4	1	252	2032898	2033638	4.84e-28	120	53.54	0/2
ParA	NZ_VKGK01000022.1	72.587	259	62	2	4	262	30355	29606	1.84e-110	357	82.63	0/-3
ParA	NZ_OXJV01000020.1	72.201	259	63	2	4	262	156689	157438	1.97e-110	357	83.01	0/2
ParA	NZ_BALM01000030.1	72.973	259	61	2	4	262	8446	9195	3.11e-110	357	83.78	0/1
ParA	NC_009831.1	71.815	259	64	2	4	262	5498722	5497973	4.29e-110	357	83.01	0/-2
ParA	NC_009831.1	36.255	251	151	4	4	252	3679788	3679057	1.32e-31	130	52.99	0/-3
ParA	NZ_RXNV01000016.1	72.201	259	63	2	4	262	21101	20352	4.34e-110	357	83.01	0/-3
ParA	NC_016901.1	71.815	259	64	2	4	262	5279994	5279245	8.19e-110	356	83.78	0/-3
ParA	NC_016901.1	33.865	251	157	4	4	252	3565686	3564955	5.22e-27	117	50.20	0/-3
ParA	NC_010334.1	72.587	259	62	2	4	262	5214551	5213802	1.02e-109	355	82.63	0/-1
ParA	NC_010334.1	32.296	257	153	5	4	252	1769628	1770359	1.17e-27	119	52.92	0/3
ParA	NZ_AMRG01000009.1	70.656	259	67	2	4	262	13290	12541	1.59e-109	355	83.01	0/-3
ParA	NC_014541.1	72.201	259	63	2	4	262	4271657	4270908	1.64e-109	355	82.24	0/-3
ParA	NC_014541.1	31.154	260	172	3	4	262	1161029	1161790	1.05e-24	110	50.38	0/2
ParA	NC_014541.1	29.482	251	165	5	8	255	3440230	3439505	8.01e-17	87.8	49.40	0/-1
ParA	NZ_QMIL01000002.1	71.429	259	65	2	4	262	78833	78084	2.79e-109	354	83.40	0/-1
ParA	NZ_JAATNW010000006.1	70.229	262	69	2	1	262	48859	49617	3.48e-109	354	82.82	0/1
ParA	NZ_OANU01000037.1	71.429	259	65	2	4	262	45231	44482	3.74e-109	354	83.01	0/-2
ParA	NZ_LQXO02000064.1	71.429	259	65	2	4	262	33944	34693	3.74e-109	354	83.01	0/2
ParA	NZ_CP018308.1	71.429	259	65	2	4	262	1361556	1360807	3.77e-109	354	83.01	0/-3
ParA	NZ_CP018308.1	33.065	248	160	2	5	252	374901	374176	1.53e-24	110	54.84	0/-3
ParA	NZ_FNVG01000021.1	71.429	259	65	2	4	262	46296	45547	3.81e-109	354	83.40	0/-1
ParA	NZ_BMPZ01000012.1	71.374	262	66	2	1	262	47336	46578	4.29e-109	353	81.68	0/-1
ParA	NZ_FXWH01000001.1	70.656	259	67	2	4	262	53487	52738	4.31e-109	353	82.63	0/-2
ParA	NZ_FXWH01000001.1	32.692	260	168	3	4	262	768153	768914	1.35e-29	125	53.46	0/3
ParA	NZ_QFLG01000025.1	71.429	259	65	2	4	262	16123	15374	4.49e-109	353	83.40	0/-2
ParA	NZ_CP037898.1	71.429	259	65	2	4	262	4637768	4638517	4.53e-109	353	83.40	0/2
ParA	NZ_CP037898.1	33.992	253	158	4	2	252	1348651	1349388	1.01e-28	122	50.59	0/1
ParA	NZ_CP022358.1	71.429	259	65	2	4	262	4780641	4779892	4.53e-109	353	83.40	0/-1
ParA	NZ_CP022358.1	34.221	263	159	5	4	259	3239465	3238698	3.99e-29	124	50.19	0/-2
ParA	NC_009901.1	72.587	259	62	2	4	262	5162264	5161515	4.66e-109	353	82.63	0/-3
ParA	NC_009901.1	34.387	253	153	5	4	252	1681987	1682718	1.79e-29	124	53.75	0/1
ParA	NC_008345.1	71.815	259	64	2	4	262	4833411	4832662	4.75e-109	353	83.01	0/-3
ParA	NC_008345.1	35.317	252	153	5	4	252	1415561	1416295	2.91e-25	112	51.19	0/2
ParA	NZ_JPIN01000012.1	69.884	259	69	2	4	262	135724	136473	4.78e-109	353	83.01	0/1
ParA	NZ_QRCS01000032.1	71.815	259	64	2	4	262	20084	19335	5.13e-109	353	83.01	0/-2
ParA	NZ_SLWF01000006.1	70.611	262	68	2	1	262	97811	98569	5.42e-109	353	82.44	0/2
ParA	NZ_PYSG01000003.1	71.815	259	64	2	4	262	352152	352901	5.65e-109	353	83.78	0/3
ParA	NZ_AUGL01000025.1	71.042	259	66	2	4	262	47068	47817	6.80e-109	353	83.40	0/1
ParA	NZ_PIPM01000015.1	71.815	259	64	2	4	262	19987	20736	1.07e-108	352	83.01	0/1
ParA	NZ_VARQ01000023.1	70.270	259	68	2	4	262	43832	43083	1.52e-108	352	83.01	0/-3
ParA	NZ_CP041036.1	70.656	259	67	2	4	262	4636820	4636071	1.54e-108	352	83.40	0/-3
ParA	NZ_CP041036.1	35.317	252	153	5	4	252	3151098	3150364	4.27e-28	120	51.59	0/-2
ParA	NZ_CP053946.1	71.042	259	66	2	4	262	587162	586413	1.62e-108	352	83.40	0/-2
