6	257	86697	87434	ParC	FOAS01000005	65.079	252	82	6	4.92e-89	296
6	257	1369653	1368916	ParC	RFFM01000001	64.286	252	84	6	5.48e-89	296
6	256	19674	20396	ParC	RFFM01000001	30.916	262	149	32	2.57e-27	118
6	257	884713	885450	ParC	LT629748	65.079	252	82	6	8.07e-89	296
7	256	3500130	3499411	ParC	LT629748	33.203	256	149	22	8.77e-30	125
6	245	3021709	3020990	ParC	LT629748	25.000	256	160	32	1.93e-06	56.2
7	45	1594990	1595106	ParC	LT629748	61.538	39	15	0	8.49e-05	50.8
6	257	3195524	3194787	ParC	LT629970	64.683	252	83	6	1.54e-88	295
6	253	377827	377114	ParC	LT629970	30.502	259	148	32	7.80e-27	117
6	257	1489677	1490414	ParC	CP063358	64.286	252	84	6	1.62e-88	295
6	256	4487257	4486535	ParC	CP063358	31.746	252	160	12	4.34e-30	126
6	257	18385	17648	ParC	AOFQ01000062	63.492	252	86	6	1.10e-87	292
6	257	19952	19215	ParC	AROI01000022	63.492	252	86	6	1.97e-87	291
2	257	39505	38756	ParC	QJUO01000024	64.062	256	86	6	2.32e-87	291
6	257	2079747	2079010	ParC	LT629787	63.095	252	87	6	4.87e-87	290
7	253	3411437	3412147	ParC	LT629787	33.202	253	147	22	6.98e-30	125
6	257	704751	705488	ParC	LT629736	61.905	252	90	6	5.85e-87	290
130	256	3114051	3113668	ParC	LT629736	35.938	128	81	1	1.21e-16	87.0
7	65	3114387	3114211	ParC	LT629736	55.932	59	26	0	7.05e-10	66.6
8	188	3500328	3500858	ParC	LT629736	28.022	182	125	6	5.58e-09	63.9
6	257	340103	339366	ParC	FOYD01000002	62.698	252	88	6	5.96e-87	290
6	257	2687757	2687020	ParC	CP007511	63.492	252	86	6	7.97e-87	290
6	256	4376553	4375831	ParC	CP007511	33.852	257	148	22	2.50e-30	127
6	257	175284	174547	ParC	BMFF01000003	62.698	252	88	6	1.07e-86	290
1	257	2276372	2275620	ParC	VTFG01000001	63.035	257	89	6	1.37e-86	289
6	256	4103757	4103035	ParC	VTFG01000001	34.241	257	147	22	2.48e-30	127
1	51	788358	788504	ParC	VTFG01000001	54.902	51	21	2	3.41e-05	52.4
6	257	21274	20537	ParC	QLAE01000040	63.889	252	85	6	2.18e-86	288
6	257	260970	261707	ParC	RWYR01000005	63.492	252	86	6	2.32e-86	288
7	45	424175	424059	ParC	RWYR01000005	64.103	39	14	0	3.99e-05	52.0
